Year,Primary,inc_primary,noninc_primary,Incumbent_party,incumbent_pres,r_vote,r_vote_1,r_vote_2,d_vote,d_vote_1,d_vote_2,partisan_adj,inc_vote,party,heat_jul,heat_aug,heat_sep,heat_oct,unem_dec_t_1,unem_per_change_t_2_t_1,GDP_per_change_t_1,inflation_t_1,score,logwth,pres_approval_avg
1912,0.346360416,0.346360416,0.450319085,1,0,0.356374417,0.545054903,0.600145883,0.643625583,0.454945097,0.399854117,1,,,,,,,,,,,,,
1916,0.061853024,0.988,0.061853024,0,0,0.483645813,0.356374417,0.545054903,0.516354187,0.643625583,0.454945097,1,,,,,,,,,,,,,
1920,0.052221832,0.234788744,0.052221832,0,0,0.638516456,0.483645813,0.356374417,0.361483544,0.516354187,0.643625583,1,,,,,,,,,,,,,
1924,0.688539796,0.688539796,0,1,0,0.65216793,0.638516456,0.483645813,0.34783207,0.361483544,0.516354187,1,,,,,,,,,,,,,
1928,0.515294824,0.515294824,0.52440615,1,1,0.587969317,0.65216793,0.638516456,0.412030683,0.34783207,0.361483544,1,,,,,,,,,,,,,
1932,0.373898832,0.373898832,0.497026205,1,0,0.408507519,0.587969317,0.65216793,0.591492481,0.412030683,0.34783207,1,,,,,,,,,,,,,
1936,0.222072195,0.929,0.222072195,0,0,0.375435564,0.408507519,0.587969317,0.624564436,0.591492481,0.412030683,0,62.4564436,dem,49,49,49.5,52.67,20.1,-1.6,8.9,3,,,
1940,0.009420791,0.7193,0.009420791,0,0,0.449999677,0.375435564,0.408507519,0.550000323,0.624564436,0.591492481,0,55.0000323,dem,46,45.5,49,51,17.2,-2.8,8,0,,,
1944,0.132897207,0.709,0.132897207,0,0,0.462261986,0.449999677,0.375435564,0.537738014,0.550000323,0.624564436,0,53.7738014,dem,47.5,47,48,49,1.9,-2.8,17,3,,,
1948,0.14596132,0.639,0.14596132,0,0,0.476304692,0.462261986,0.449999677,0.523695308,0.537738014,0.550000323,0,52.3695308,dem,37.5,38.2,38.2,45,3.6,-0.3,-1.1,8.8,,,55.6
1952,0.289804304,0,0.289804304,0,0,0.554518889,0.476304692,0.462261986,0.445481111,0.523695308,0.537738014,0,44.5481111,dem,43,41.5,40.5,41.2,3.1,-1.2,8,6,,,36.5
1956,0.897725291,0.897725291,0.507,1,1,0.577516514,0.554518889,0.476304692,0.422483486,0.445481111,0.523695308,0,57.7516514,rep,61.5,52,52,54,4.2,-0.8,7.1,0.4,,,69.6
1960,0.966547822,0.8928,0.85,1,0,0.499174386,0.577516514,0.554518889,0.500825614,0.422483486,0.445481111,0,49.9174386,rep,46,47.75,47.75,46.67,5.3,-0.9,6.9,1.7,,,60.5
1964,0.748323263,0.178,0.748323263,0,0,0.386552967,0.499174386,0.577516514,0.613447033,0.500825614,0.422483486,0,61.3447033,dem,60.5,65,63.5,64,5.5,0,4.4,1.6,,,74.2
1968,0.474363316,0,77.61,0,0,0.504059464,0.386552967,0.499174386,0.495940536,0.613447033,0.500825614,0,49.5940536,dem,39,29,29.33,36,3.8,0,2.7,3,1.862462006,2.079441542,50.3
1972,0.94433606,0.6761,0.3715,1,1,0.617861099,0.504059464,0.386552967,0.382138901,0.495940536,0.613447033,0,61.7861099,rep,56,60.5,61,59.5,6,-0.1,3.3,3.3,1.869341564,1.386294361,55.8
1976,0.537398831,0.5006,0.2837,1,0,0.489477143,0.617861099,0.504059464,0.510522857,0.382138901,0.495940536,0,48.9477143,rep,29,34,40,45,4.9,-0.3,5.6,8.7,1.968425801,2.079441542,47.2
1980,0.624173656,0.4708,0.4981,0,0,0.553053414,0.489477143,0.617861099,0.446946586,0.510522857,0.382138901,0,44.6946586,dem,35,35.67,35.67,44.33,6,0,3.2,13.3,2.097928437,1.386294361,45.5
1984,0.998037932,0.998037932,0.2788,1,1,0.591696197,0.553053414,0.489477143,0.408303803,0.446946586,0.510522857,0,59.1696197,rep,53,55.25,55.25,57.67,8.3,-2.5,4.6,3.8,1.847472924,1.386294361,50.3
1988,0.706374253,0.3767,0.37,1,0,0.539017976,0.591696197,0.553053414,0.460982024,0.408303803,0.446946586,0,53.9017976,rep,39,42,48,50,5.7,-0.9,3.5,4.4,1.823703704,2.079441542,55.3
1992,0.760352116,0.532,0.2478,1,1,0.46545035,0.539017976,0.591696197,0.53454965,0.460982024,0.408303803,0,46.545035,rep,37.5,39.33,38.8,33.83,7.3,1,-0.1,3.1,2.04368932,2.48490665,60.9
1996,0.646431111,0.89,0.2622,0,0,0.452633698,0.46545035,0.539017976,0.547366302,0.53454965,0.460982024,0,54.7366302,dem,50,51.2,52.77,52.2,5.6,0.1,2.7,2.5,1.807264206,1.386294361,49.6
2000,0.630687827,0.4973,0.3036,0,0,0.49731955,0.452633698,0.46545035,0.50268045,0.547366302,0.53454965,0,50.268045,dem,41,42,43.62,43.73,4,-0.4,4.8,2.7,1.792284866,2.079441542,60.6
2004,0.987072195,0.7995,0.4306,1,1,0.512439868,0.49731955,0.452633698,0.487560132,0.50268045,0.547366302,0,51.2439868,rep,47.33,48,52,49.8,5.7,-0.3,2.9,1.9,1.881229236,1.386294361,62.2
2008,0.678153697,0.37,0.3645,1,0,0.463111525,0.512439868,0.49731955,0.536888475,0.487560132,0.50268045,0,46.3111525,rep,42.5,43,46.33,41.6,5,0.6,1.9,4.1,2.176114236,2.079441542,36.5
